username,display_name
mariyaivasileva,Mariya I. Vasileva
Marcus_J_W,Marcus Williams
__alpoge__,levent
deanwball,Dean W. Ball
boknilev,Yonatan Belinkov
jhanatech,Jhourney
shoyer,Stephan Hoyer
BangachevKiril,Kiril Bangachev
hpapazov_ai,Hristo Papazov
bengoertzel,Ben Goertzel
GabrielDWu1,Gabriel Wu
thsottiaux,Tibo
iliyas_noman,Iliyas Noman
NaomiBashkansky,Naomi Bashkansky
MicahCarroll,Micah Carroll
DanielCHTan97,Daniel Tan
OwainEvans_UK,Owain Evans
BarrAlexandra,Alexandra Barr
mike64_t,mike64_t
Grad62304977,Grad
hauntsaninja,Shantanu Jain
joyzpanda,Joy Zheng
chrmanning,Christopher Manning
SleeperJets,SleeperJets
maxhodak_,Max Hodak
thesfcommons,The Commons
gradascetic,edward
saprmarks,Samuel Marks
RunjinChen,Runjin Chen
RyanPGreenblatt,Ryan Greenblatt
todor_m_markov,Todor Markov
andyarditi,Andy Arditi
merettm,Jakub Pachocki
gabriel1,gabriel
alexwei_,Alexander Wei
KerenGu,Keren Gu 
crystalsssup,Crystal
mariachrstphr,maria 
TheZvi,Zvi Mowshowitz
spaniel_bashir,daniel bashir
tobyordoxford,Toby Ord
sleepinyourhat,Sam Bowman
