username,display_name
ESYudkowsky,Eliezer Yudkowsky 
mealreplacer,Julian
RichardMCNgo,Richard Ngo
NathanpmYoung,Nathan 
StefanFSchubert,Stefan Schubert
robinhanson,Robin Hanson
peterwildeford,Peter Wildeford
KelseyTuoc,Kelsey Piper
QualyThe,Qualy the lightbulb
nickcammarata,Nick
robertwiblin,Rob Wiblin
robbensinger,Rob Bensinger 
moskov,Dustin Moskovitz
anderssandberg,Anders Sandberg
robertskmiles,Rob Miles
Miles_Brundage,Miles Brundage
myhandle,Jakeup
FreshMangoLassi,Habiba 
frances__lorenz,Frances Lorenz
AnthropicAI,Anthropic
sprice354_,Sara Price
quocleix,Quoc Le
huggingface,Hugging Face
svlevine,Sergey Levine
repligate,j⧉nus
uncensored_ai,uncensored ai
dioscuri,Henry Shevlin
MrinankSharma,mrinank 
dwarkesh_sp,Dwarkesh Patel
labenz,Nathan Labenz
RogerGrosse,Roger Grosse
JacobHHilton,Jacob Hilton
DKokotajlo,Daniel Kokotajlo
asteriskmgzn,Asterisk
brayden_mclean,Brayden McLean
alexalbert__,Alex Albert
SullyOmarr,Sully
StuartJRitchie,Stuart Ritchie 
sokadv,Saurav Kadavath
MLStreetTalk,Machine Learning Street Talk
Tyler_A_Harper,Tyler Austin Harper
AlexTamkin,Alex Tamkin
