username,display_name
jackclarkSF,Jack Clark
AmandaAskell,Amanda Askell
janleike,Jan Leike
catherineols,Catherine Olsson
GregFeingold,Greg Feingold
claudeai,Claude
lexxbarn,Lexie Barnhorn
todor_m_markov,Todor Markov
DarioAmodei,Dario Amodei
dpkingma,Durk Kingma
AlexTamkin,Alex Tamkin
mkwng,michael
jaykreps,Jay Kreps
mikeyk,Mike Krieger
sammcallister,sam mcallister
AvitalBalwit,Avital Balwit
thebasepoint,Joshua Batson
cem__anil,Cem Anil
alexalbert__,Alex Albert
NeeravKingsland,Neerav Kingsland
chrmanning,Christopher Manning
drfeifei,Fei-Fei Li
maxhodak_,Max Hodak
StuartJRitchie,Stuart Ritchie 
SallyA,Sally Aldous
dtompaine,Thompson Paine
sashadem,Sasha de Marigny
aaron_j_b,Aaron B
sandybanerj,Sandy Banerjee
andy_l_jones,andy jones
Hernandez_Danny,Danny Hernandez
8enmann,Ben Mann
nelhage,@nelhage
samsamoa,Sam McCandlish
nottombrown,Tom Brown
ch402,Chris Olah
kandouss,Kamal Ndousse
DanielaAmodei,Daniela Amodei
