username,display_name
DrJimFan,Jim Fan
soumithchintala,Soumith Chintala
arankomatsuzaki,Aran Komatsuzaki
perplexity_ai,Perplexity
danijarh,Danijar Hafner
jeremyphoward,Jeremy Howard
jackclarkSF,Jack Clark
RichardSocher,Richard Socher
sedielem,Sander Dieleman
natashajaques,Natasha Jaques
JeffDean,Jeff Dean
_arohan_,rohan anil
srush_nlp,Sasha Rush
ethanCaballero,Ethan Caballero
bcherny,Boris Cherny
ikhare,Indy Khare
addyosmani,Addy Osmani
hirox246,ひろゆき
lyleklyne,Lyle Klyne
jimmybajimmyba,Jimmy Ba
Crazymoments01,Crazy Moments
zoink,Dylan Field
bearablylight,Melissa Du
chaitu,Chaitu
omooretweets,Olivia Moore
thegenesisbl0ck,"Andrea D. Huberwoman, Ph.D."
DeryaTR_,"Derya Unutmaz, MD"
HyRillero,Hy
Tom_A_Lynch,Tom Lynch
chrispavlovski,Chris Pavlovski 
XFreeze,X Freeze
natekupp,Nate Kupp
colindunn,Colin Dunn
adammenges,Adam Menges
franktepas,Frank te Pas
SreekarKuchi,Sreekar Kuchibhatla
Ibra_official,Zlatan Ibrahimović
joincolossus,Colossus
amritwt,amrit
peymankh,Peyman Khanjan
