username,display_name
michael_nielsen,Michael Nielsen
alexeyguzey,Alexey Guzey
nickcammarata,Nick
RichardMCNgo,Richard Ngo
algekalipso,"Captain Pleasure, Andrés Gómez Emilsson"
typedfemale,typedfemale
Meaningness,David Chapman
jasoncrawford,Jason Crawford
ad0rnai,carl
ByrneHobart,Byrne Hobart
NathanpmYoung,Nathan 
nabeelqu,Nabeel S. Qureshi
elidourado,Eli Dourado
myhandle,Jakeup
RuxandraTeslo,Ruxandra Teslo 
atroyn,anton 
nwilliams030,nicole ruiz
mkaeberlein,Matt Kaeberlein
TylerAlterman,Tyler Alterman is in monkmode (but still tweeting)
Ben_Reinhardt,Ben Reinhardt
EndeavoringIvy,Ivy
antifraudco,The Antifraud Company
huggingface,Hugging Face
bcherny,Boris Cherny
jamesproud,James Proud
LydNot,Lydia (in SF)
Julian_Ganymede,Julian Ganymede
joincolossus,Colossus
OliviaHelenS,Olivia H. Scharfman
ellenhuet,Ellen Huet
lydialaurenson,Lydia Laurenson
lauramnicolae,Laura Nicolae
archanaahlawat,Archana Ahlawat
zencephalon,zen eth/acc
bavardier,Margarit
kate_rouch,Kate Rouch 
itsclivetime,Clive Chan
yellieyana,Eliana
iwsfutcmd,iwsfutcmd
lyreseas,lyra
