username,display_name
redwood_ai,Redwood Research
sertealex,Alex Serrano
abhayesian,abhayesian
lefthanddraft,Wyatt Walls
thinkymachines,Thinking Machines
eccentric1ty,Adam Kaufman
sleepinyourhat,Sam Bowman
walterlaurito,Walter Laurito
srihita_raju,Srihita Vatsavaya
jack_merullo_,Jack Merullo
Tim_Hua_,Tim Hua 
bartoszcyw,Bartosz Cywinski
StewartSlocum1,Stewart Slocum
TonyWangIV,Tony Wang
gordic_aleksa,Aleksa Gordić (水平问题)
phylliida,Phylliida
RunjinChen,Runjin Chen
HCasademunt,Helena Casademunt
lilysun004,lily (xiaoqing)
nickhjiang,Nick Jiang
ChrisGPotts,Christopher Potts
ZhengxuanZenWu,Zhengxuan Wu
playerzero_ai,PlayerZero
SleeperJets,SleeperJets
JeffDean,Jeff Dean
hendrycks,Dan Hendrycks
kayo_yin,Kayo Yin
ShakeelHashim,Shakeel
repligate,j⧉nus
RyanPGreenblatt,Ryan Greenblatt
davlindner,David Lindner
oliviagjimenez,Olivia Jimenez
voooooogel,thebes
milesaturpin,Miles Turpin
PradyuPrasad,Pradyumna
StefanFSchubert,Stefan Schubert
anshrad,Ansh Radhakrishnan
jozdien,Arun Jose
soheeyang_,Sohee Yang
YidaEdward,Yida Chen
MaskedTorah,Drake Thomas
