username,display_name
pmarca,Marc Andreessen 
micsolana,Mike Solana
stevenmarkryan,stevenmarkryan
farzyness,Farzad
Austen,Austen Allred
antoniogm,Antonio García Martínez (agm.eth)
theallinpod,The All-In Podcast
jasondebolt,Jason DeBolt 
garrytan,Garry Tan
HarryStebbings,Harry Stebbings
sriramk,Sriram Krishnan
chamath,Chamath Palihapitiya
JTLonsdale,Joe Lonsdale
jasonlk,Jason 
all_in_tok,ALL-IN TOK
rabois,Keith Rabois
altcap,Brad Gerstner
DanielSLoeb1,Daniel S. Loeb
JonathanRoss321,Jonathan Ross
nickshirleyy,Nick shirley
antifraudco,The Antifraud Company
rsalakhu,Russ Salakhutdinov
JeffDean,Jeff Dean
perrymetzger,Perry E. Metzger
growing_daniel,Daniel
AsiaLens,Demetri
fengchucheng,Chucheng Feng
LeadingFutureAI,Leading the Future
peterwildeford,Peter Wildeford
miramurati,Mira Murati
kadmitriev,Kirill Dmitriev
AdamThierer,Adam Thierer
Collin_McCune,Collin McCune
AMB_Alhamed,Abdulla M Alhamed
the_jefferymead,Jeffery Mead
MrsErikaKirk,Erika Kirk
zijing_wu,Zijing Wu
WallStreetApes,Wall Street Apes
andrewdfeldman,Andrew Feldman
