username,display_name
_akhaliq,AK
AIatMeta,AI at Meta
ai__pub,AI Pub
arankomatsuzaki,Aran Komatsuzaki
LiorOnAI,Lior Alexander
YiMaTweets,Yi Ma
mathemagic1an,Jay Hack
ericjang11,Eric Jang
woj_zaremba,Wojciech Zaremba
percyliang,Percy Liang
hausman_k,Karol Hausman
SchmidhuberAI,Jürgen Schmidhuber
giffmana,Lucas Beyer (bl16)
nearcyan,near
AnthropicAI,Anthropic
_jasonwei,Jason Wei
svlevine,Sergey Levine
iScienceLuvr,"Tanishq Mathew Abraham, Ph.D."
shaneguML,Shane Gu
CSProfKGD,Kosta Derpanis
steipete,Peter Steinberger
lilianweng,Lilian Weng
birenbomb,Gabby Birenbaum
EmbodiedAIRead,Embodied AI Reading Notes
reborn_agi,Reborn
claudeai,Claude
Rewkang,Andrew Kang
PounceLight,Tiny Glade 
Zai_org,Z.ai
TencentHunyuan,Tencent HY
EthanHe_42,Ethan He
Alibaba_Wan,Wan
enactic_ai,Enactic
Kalshi,Kalshi
solisolsoli,soli
coolboi95,Kamyar Ghasemipour
GeneralistAI,Generalist
HaoranGeng2,Haoran Geng
DonRonnelly,Ryan Donnelly
