username,display_name
robinhanson,Robin Hanson
bryan_caplan,Bryan Caplan
KelseyTuoc,Kelsey Piper
robbensinger,Rob Bensinger 
anderssandberg,Anders Sandberg
moskov,Dustin Moskovitz
SpencrGreenberg,Spencer Greenberg 
TheZvi,Zvi Mowshowitz
TetraspaceWest,Tetraspace 
Miles_Brundage,Miles Brundage
davidmanheim,David Manheim
allTheYud,Eliezer Yudkowsky
afederation,Alex Federation
orsonscottcard,Orson Scott Card
Peter_InNorfolk,Peter I-live-in-the-paradoxes InNorfolk
mct4health,Jaromír Janda
fire_bottle,FireInABottle
HHS_Jim,Deputy Secretary Jim O'Neill
weidai11,Wei Dai
YosarianTwo,Yosarian2
steipete,Peter Steinberger
mackhawk,Mackenzie Hawkins
NASAAdmin,NASA Administrator Jared Isaacman
goodside,Riley Goodside
NurseCthulhu,Miranda Dixon
zxocw,olaf
hollow_art,Hollow Art
ftxfuturefund,Future Fund
EmersonSpartz, Emerson Spartz
justinamash,Justin Amash
EAheadlines,EA Lifestyles
Dominic2306,Dominic Cummings
AnnaWSalamon,Anna Salamon
diviacaroline,Divia Eden 
steak_umm,Steak-umm
JeffJMason,Jeff Mason
WilliamAEden,William Eden
sentientist,Diana S. Fleischman
kmett,Edward Kmett
