username,display_name
patrick_oshag,Patrick OShaughnessy
FrederikNeckar,Frederik Gieschen
marketplunger1,Brandon Beylo
DanielSLoeb1,Daniel S. Loeb
pmje73,Paul Enright
PythiaR,Pythia Cap: Vertical Market Sycophant
modestproposal1,modest proposal
JerryCap,Jerry Capital
trengriffin,Tren Griffin
borrowed_ideas,Mostly Borrowed Ideas
BucknSF,Buck
honam,Ho Nam
lhamtil,Lawrence Hamtil
P_Remarks,Prepared Remarks
BillBrewsterTBB,Bill Brewster
TSOH_Investing,Alex Morris (TSOH Investment Research)
FundamentEdge,Brett Caughran
TheTranscript_,The Transcript
InnocenceCapit1,InnocenceCapital.AI (
Clint_Davey1,Clint Warren-Davey
EverestToday,Everest Today
antifraudco,The Antifraud Company
SamuelAlbanie,Samuel Albanie 
hugo_larochelle,Hugo Larochelle
Mr_Derivatives,Heisenberg
ShortSeller,ShortSeller
FrankCappelleri,Frank Cappelleri
TheMarketStats,The Market Stats
CyclesFan,CyclesFan
ArcanaAnalytics,Arcana
GregAbbott_TX,Greg Abbott
deredleritt3r,prinz
sarafischer,Sara Fischer
urialon1,Uri Alon
paulcerro,Paul Cerro
rtwlz,Riley Walz
Memetic_Theory,mass
jeffmfulgham,Jeff Fulgham
mad_liberals,Mad Liberals
Afinetheorem,Kevin A. Bryan
StateDept,Department of State
koylanai,Muratcan Koylan
