username,display_name
tensorqt,tensorqt
emaros96,Emanuele Rossi
robdessi,Roberto Dessì
BrigliaRosaria,Maria Rosaria Briglia
cosmo_luca,Luca Cosmo
d_baieri,Daniele Baieri
MPegoraro42,Marco Pegoraro
krytox205,Giorgio Strano
noranta4,Antonio Norelli
michelemancusi,Michele Mancusi
marco_fumero,Marco Fumero
R_AMinut,Adrian R. Minut
EmilianPostola1,Emilian Postolache
ValeMaiorca,Valentino Maiorca @ NeurIPS San Diego
moschella_luca,Luca Moschella
tommaso_mncttn,tommaso mencattini
dansolombrino,Daniele Solombrino
s_scardapane,Simone Scardapane
fabreetseo,Fabrizio Silvestri
DonatoCrisosto1,Donato Crisostomi
ire_cannistraci,Irene Cannistraci
marcusabramovi1,Marcus Abramovitch
SleeperJets,SleeperJets
maxhodak_,Max Hodak
EmanueleRodola,Emanuele Rodolà
_iAc,Iacopo Masi
teelinsan,Andrea Santilli
