username,display_name
paranirmal9,Nirmal B
RayanKrishnan,Rayan Krishnan
mark_endo1,Mark Endo
IMazelis,Ignas Maželis
aelluswamy,Ashok Elluswamy
diffusion_llms,Discrete Diffusion Reading Group
kenneth0stanley,Kenneth Stanley
UriAlonWeizmann,Uri Alon
malikules,Malika 
GavinSBaker,Gavin Baker
kylem_ller,Kyle Miller
alpercanbe,Alper Canberk
MollySOShea,Molly O’Shea
VirusesImmunity,Prof. Akiko Iwasaki
AirDistrict,Bay Area Air Quality
ExaAILabs,Exa
paraga,Parag Agrawal
OnlineMCSeminar,Monte Carlo Seminar
appliedcompute,Applied Compute
StewartSlocum1,Stewart Slocum
rowankwang,rowan
EeroSimoncelli,Eero Simoncelli
pabbeel,Pieter Abbeel
bearlyai,Bearly AI
seb_ruder,Sebastian Ruder
lateinteraction,Omar Khattab
j_mcgraph,Josh McGrath
jsunn_y,Jason Yang
boqiang1222,Bo Qiang
Stagehanddev,Stagehand 
ShamKakade6,Sham Kakade
HazanPrinceton,Elad Hazan
percyliang,Percy Liang
TheGregYang,Greg Yang
volokuleshov,Volodymyr Kuleshov 
andy_matuschak,Andy Matuschak
BennyChugg,Ben Chugg
ventuals,Ventuals
matthuang,Matt Huang
paradigm,Paradigm
MiloLabWIS,Milo Lab @WIS
