username,display_name
KanakaRajanPhD,Kanaka Rajan
SussilloDavid,David Sussillo
patrickmineault,Patrick Mineault
KordingLab,Kording Lab 
pfau,David Pfau
RNogueiraNeuro,Ramon Nogueira
behrenstimb,Tim Behrens
s_y_chung,SueYeon Chung
TonyZador,Tony Zador
SuryaGanguli,Surya Ganguli
ClementineDomi6,"Clémentine Dominé, Phd "
mBeiran,Manuel Beiran
blake__bordelon,Blake Bordelon 
jaschasd,Jascha Sohl-Dickstein
Fran_Sacadura,Francisco Sacadura
AnthropicAI,Anthropic
criticalneuro,Ida Momennejad
CPehlevan,Cengiz Pehlevan
RainerEngelken,Rainer Engelken
LLogiaco,Laureline Logiaco
stanfordnlp,Stanford NLP Group
Mila_Quebec,Mila - Institut québécois d'IA
chelseabfinn,Chelsea Finn
RosieCampbell,Rosie Campbell
jkminder,Julian Minder
Butanium_,Clément Dumas
lindsey_brink,Brink Lindsey
ElanaPearl,Elana Simon
_ryanbloom,Ryan
StevenLevy,Steven Levy
_philschmid,Philipp Schmid
nabeelqu,Nabeel S. Qureshi
emollick,Ethan Mollick
riemannzeta,Michael Frank Martin
ashleevance,Ashlee Vance
CurtTigges,Curt Tigges
brhydon,Brydon Eastman
MilesKWang,Miles Wang
K3ithAI,K3ith.AI
DeepFriedNet,Deep Fried Net
