username,display_name
elonmusk,Elon Musk
Amarillo_Slim1,Amarillo Slim
SkylerMiao7,Skyler Miao
ArvindKrishna,Arvind Krishna
KiteVC,Bill Tai
Turki_alalshikh,TURKI ALALSHIKH
sqs,Quinn Slack
DavidCarbutt_,David Carbutt
martin_casado,martin_casado
aarush,Aarush Sah
benankiel,Ben Ankiel
dkundel,dominik kundel
LandoNorris,Lando Norris
OscarPiastri,Oscar Piastri
ZBrownCEO,Zak Brown
patrickc,Patrick Collison
ch402,Chris Olah
polynoamial,Noam Brown
_akhaliq,AK
ParikPatelCFA,"Dr. Parik Patel, BA, CFA, ACCA Esq."
tobi,tobi lutke
bearlyai,Bearly AI
stanfordnlp,Stanford NLP Group
gregoryblotnick,Gregory Blotnick
clairevo,claire vo 
simonw,Simon Willison
swyx,swyx 
qayyumrajan,"Qayyum ('Q') Rajan, CFA"
TheRaymondYeh,Raymond Yeh
d__raptis,Jim Raptis
bresslertweets,David Bressler 
maciejcupial,Maciej Cupial
nicolaiklemke,Nicolai Klemke
czue,Cory Zue
RoxCodes,Rox
AndreyAzimov,Andrey Azimov
alexwestco,Alex West 
pbteja1998,Bhanu Teja P
hnshah,Hiten Shah
