username,display_name
HarryStebbings,Harry Stebbings
pitdesi,Sheel Mohnot
DanielSLoeb1,Daniel S. Loeb
patrick_oshag,Patrick OShaughnessy
wolfejosh,Josh Wolfe
mattturck,Matt Turck
TurnerNovak,Turner Novak 
danprimack,Dan Primack
rabois,Keith Rabois
m2jr,"Mike Maples, Jr"
andrew__reed,Andrew Reed
jaltma,Jack Altman
scottbelsky,scott belsky
altcap,Brad Gerstner
zachperret,Zachary Perret
OrlandoBravoTB,Orlando Bravo
albertwenger,Albert Wenger 
aweissman,Andy Weissman
loganbartlett,logan bartlett
zoink,Dylan Field
glangley,Garrett Langley
Garydwayne,GPII
hbarnes,Harrison Barnes
BeingSalmanKhan,Salman Khan
reah_ai,reah miyara
MillionInt,Jerry Tworek
dwehner,Dave Wehner
NYPDPC,Jessica S. Tisch
SemiAnalysis_,SemiAnalysis
runwildkian,dianna
quintinfrerichs,Quintin Frerichs
justinbieber,Justin Bieber
nudge,Nudge
jonoringer,Jon Oringer
johnhering,johnhering
USAmbFrance,Ambassador Charles Kushner
ThriveHoldings,Thrive Holdings
mariogabriele,Mario Gabriele 
nicochristie,nico
StartupArchive_,Startup Archive
BillSimmons,Bill Simmons
StevenACohen2,Steven Cohen
