username,display_name
fchollet,François Chollet
DeBie_Hendrik,Hendrik De Bie
percyliang,Percy Liang
ChrisGPotts,Christopher Potts
yoavgo,(((ل()(ل() 'yoav))))
jacobandreas,Jacob Andreas
omarsar0,elvis
hardmaru,hardmaru
rvdwalle,Rik Van de Walle
gertdecooman,Gert de Cooman
chrmanning,Christopher Manning
tallinzen,Tal Linzen
RishiBommasani,rishi
huggingface,Hugging Face
jbaert,Jeroen Baert
kayo_yin,Kayo Yin
srush_nlp,Sasha Rush
jayelmnop,Jesse Mu
ylecun,Yann LeCun
deliprao,Delip Rao e/σ
stanfordnlp,Stanford NLP Group
drfeifei,Fei-Fei Li
SleeperJets,SleeperJets
tszzl,roon
aidan_mclau,Aidan McLaughlin
christinahkim,christina kim
PeterAttiaMD,Peter Attia
SGRodriques,Sam Rodriques
brewmarkets,Brew Markets
miramurati,Mira Murati
LakshyAAAgrawal,Lakshya A Agrawal @ NeurIPS
cdngdev,Thijs
TechBroDrip,Dripped Out Technology Brothers
thekaransinghal,Karan Singhal
gharik,Georges Harik
knthlien,kenneth
WilliamBarrHeld,Will Held
trevormccrt1,Trevor McCourt
johnschulman2,John Schulman
jsuarez5341,Joseph Suarez 
