username,display_name
ESYudkowsky,Eliezer Yudkowsky 
mealreplacer,Julian
NathanpmYoung,Nathan 
robinhanson,Robin Hanson
dylanmatt,dylan matthews 
StefanFSchubert,Stefan Schubert
RichardMCNgo,Richard Ngo
QualyThe,Qualy the lightbulb
moskov,Dustin Moskovitz
AlecStapp,Alec Stapp
ATabarrok,Alex Tabarrok
robbensinger,Rob Bensinger 
AmandaAskell,Amanda Askell
myhandle,Jakeup
robertwiblin,Rob Wiblin
michael_nielsen,Michael Nielsen
ilex_ulmus,Holly 
frances__lorenz,Frances Lorenz
selentelechia, bosco 
SpencrGreenberg,Spencer Greenberg 
senatorshoshana,"Shoshana Weissmann, Sloth Committee Chair "
SleeperJets,SleeperJets
JeffDean,Jeff Dean
JacksonKernion,Jackson Kernion
powerbottomdad1,sucks
manic_pixie_agi,Corinne (NYC)
rosehorowitch,Rose Horowitch
hanlonbt,Brian Hanlon
TimH_B,Tim Hirschel-Burns
austinc3301,Agus 
MunicipleOrrery,Municipal Orrery
jeffreypclemens,Jeffrey P. Clemens
sriramk,Sriram Krishnan
ScVanValkenburg,Senator Schuyler VanValkenburg
g_leech_,gavin leech (Non-Reasoning)
TheCatholicEngr,The Catholic Engineer
minilek,Jelani Nelson
ChadAldeman,Chad Aldeman
johnloeber,John Loeber 
moseskagan,Moses Kagan
