username,display_name
rabois,Keith Rabois
bernhardsson,Erik Bernhardsson
KTmBoyle,Katherine Boyle
Pavel_Asparagus,Pavel Asparouhov
itunpredictable,sisyphus bar and grill
terronk,Lee Edwards
kwharrison13,Kyle Harrison
martin_casado,martin_casado
daltonc,Dalton Caldwell
Bfaviero,Bruno F | Magna
DeltaInstitutes,Delta Institute
JoanneZPeng,Joanne Peng
theombl,Theo Bleier
sofiecyang,Sofie Yang
zackmziegler,Zachary Ziegler
glangley,Garrett Langley
paradigm,Paradigm
GuanniQu,Jenny Qu
FrancoisChauba1,Francois Chaubard
ycinnewyork,Yiatin Chu
Yikang_Shen,Yikang Shen
benebwolff,Benedict Wolff
chelseabfinn,Chelsea Finn
antifraudco,The Antifraud Company
hugo_larochelle,Hugo Larochelle
unconvAI,Unconventional AI
RoadrunnerAI,Roadrunner
big_algocracy,phil
quinnfavret,Quinn Favret
vijayeraji,Vijaye Raji
ArthBohra,Arth Bohra
reductoai,Reducto
aditabrm,Adit
emrebsonmez,Emre Sonmez
thaiscbranco_,Thais Castello Branco
jialim__,Jia Lim
ailimcgregor,Aili McGregor
binarybits,Timothy B. Lee
trbrashears,Travis Brashears
whelan_boyd,Whelan Boyd
Benioff,Marc Benioff
fhinkel,"Franziska Hinkelmann, PhD"
