username,display_name
yoavgo,(((ل()(ل() 'yoav))))
deliprao,Delip Rao e/σ
arankomatsuzaki,Aran Komatsuzaki
soumithchintala,Soumith Chintala
ericjang11,Eric Jang
RichardMCNgo,Richard Ngo
jackclarkSF,Jack Clark
AnthropicAI,Anthropic
RichardSocher,Richard Socher
woj_zaremba,Wojciech Zaremba
percyliang,Percy Liang
giffmana,Lucas Beyer (bl16)
kchonyc,Kyunghyun Cho
savvyRL,Rosanne Liu
sleepinyourhat,Sam Bowman
AmandaAskell,Amanda Askell
pfau,David Pfau
MichaelTrazzi,Michaël Trazzi
srush_nlp,Sasha Rush
NathanpmYoung,Nathan 
hugo_larochelle,Hugo Larochelle
JeffDean,Jeff Dean
lilianweng,Lilian Weng
adocomplete,Ado
j_dekoninck,Jasper Dekoninck
YonglongT,Yonglong Tian
AlekhyaTalla,Alekhya Tallapaka
gemmagaldon,Gemma 
jingyanghk,Jing Yang
michaelsayman,Michael Sayman
TylerKatzen,Tyler Katzenberger
CharlesCMann,𝙲𝚑𝚊𝚛𝚕𝚎𝚜 𝙲. 𝙼𝚊𝚗𝚗
vitaliychiley,Vitaliy Chiley
ryanradulovacki,Ryan Radulovacki
BerivanISIK,Berivan Isik
ButVai,Vaidehi Murthy
sethbannon,Seth Bannon
ScienceUnderSec,Darío Gil
