username,display_name
ESYudkowsky,Eliezer Yudkowsky 
RichardMCNgo,Richard Ngo
mealreplacer,Julian
michael_nielsen,Michael Nielsen
NathanpmYoung,Nathan 
QualyThe,Qualy the lightbulb
robertskmiles,Rob Miles
AmandaAskell,Amanda Askell
jackclarkSF,Jack Clark
StefanFSchubert,Stefan Schubert
KelseyTuoc,Kelsey Piper
moskov,Dustin Moskovitz
robertwiblin,Rob Wiblin
DavidSKrueger,David Krueger
BlancheMinerva,Stella Biderman
anderssandberg,Anders Sandberg
frances__lorenz,Frances Lorenz
sleepinyourhat,Sam Bowman
srush_nlp,Sasha Rush
catherineols,Catherine Olsson
ericneyman,Eric Neyman
JeffDean,Jeff Dean
soumithchintala,Soumith Chintala
maxhodak_,Max Hodak
BritishProgress,Centre for British Progress
SamuelAlbanie,Samuel Albanie 
pdhsu,Patrick Hsu
koj_hd,koj
nitarshan,Nitarshan
ArthurConmy,Arthur Conmy
nabla_theta,Leo Gao
BCiechanowski,Bartosz Ciechanowski
AnEmergentI,James W. Phillips
_sholtodouglas,Sholto Douglas
patio11,Patrick McKenzie
wesg52,Wes Gurnee
tracewoodgrains,TracingWoodgrains
bshlgrs,Buck Shlegeris
ashleevance,Ashlee Vance
eshear,Emmett Shear
