username,display_name
ESYudkowsky,Eliezer Yudkowsky 
robinhanson,Robin Hanson
mealreplacer,Julian
nickcammarata,Nick
NathanpmYoung,Nathan 
StefanFSchubert,Stefan Schubert
michael_nielsen,Michael Nielsen
peterwildeford,Peter Wildeford
AmandaAskell,Amanda Askell
algekalipso,"Captain Pleasure, Andrés Gómez Emilsson"
KelseyTuoc,Kelsey Piper
moskov,Dustin Moskovitz
robertskmiles,Rob Miles
myhandle,Jakeup
nearcyan,near
anderssandberg,Anders Sandberg
AnthropicAI,Anthropic
robertwiblin,Rob Wiblin
alexeyguzey,Alexey Guzey
TylerAlterman,Tyler Alterman is in monkmode (but still tweeting)
realErikDPrince,ErikDPrince
quocleix,Quoc Le
hugo_larochelle,Hugo Larochelle
stanfordnlp,Stanford NLP Group
bariweiss,Bari Weiss
Object_Zero_,Object Zero
mariquantified,Mari
davidbessis,David Bessis
_Mira___Mira_,Mira
hktsre,hek! 
jeffgwoah,Jeff Guo
Plinz,Joscha Bach
gstsdn,augustus odena
A_Variengien,Alexandre Variengien
1llegalEngineer,Mad Engineer
BerenMillidge,Beren Millidge
natural_hazard,Hazard
alexinfanger,Alex Infanger
AndrewCritchPhD,Andrew Critch (
adamjgoldstein,Adam Julian Goldstein
stevenkaas,Steven Kaas
