username,display_name
_akhaliq,AK
ylecun,Yann LeCun
arankomatsuzaki,Aran Komatsuzaki
CSProfKGD,Kosta Derpanis
hardmaru,hardmaru
Michael_J_Black,Michael Black
fchollet,François Chollet
DrJimFan,Jim Fan
rasbt,Sebastian Raschka
giffmana,Lucas Beyer (bl16)
GoogleDeepMind,Google DeepMind
EMostaque,Emad
goodside,Riley Goodside
elliottszwu,Elliott / Shangzhe Wu
AIatMeta,AI at Meta
Andrew__Brown__,Andrew Brown
ftm_guney,F. Güney
omarsar0,elvis
jbhuang0604,Jia-Bin Huang
docmilanfar,Peyman Milanfar
abshkbh,Abhishek Bhardwaj
travisk,travis kalanick
shitorisan,shitoro
denny_zhou,Denny Zhou
synchroaphasia,Philip Moreira Tomei
JoshAEngels,Josh Engels
thomasforth,Tom Forth
sriramk,Sriram Krishnan
KevinKiao,Kefan XIAO
freddie_poser,Freddie Poser
alfcnz,Alfredo Canziani
lepikhin,Dmitry (Dima) Lepikhin
deviparikh,Devi Parikh
grutzik_petra,Petra Grutzik
simon_zhai,Simon Zhai
vkrakovna,Victoria Krakovna
irobotmckenzie,Ian McKenzie
AndyMasley,Andy Masley
olivierhenaff,Olivier Hénaff
