username,display_name
josephhhhz,Joseph Zhang
swyx,swyx 
premqnair,Prem Qu Nair
windsurf,Windsurf
jeffwsurf,Jeff Wang
AustinMead,Austin Mead
DevinAI,Devin
carlobaronio,Carlo
pmmarsella,Pietro Marsella
ybenpan,Ben Pan
Colhodm,Arjun Mishra
Adhyyan,Adhyyan Sekhsaria
bryceehunt,Bryce Hunt
JosephGross157,Joseph Gross
itsandrewgao,andrew gao
devmchheda,Dev Chheda
ginkoid,Philip
vnovakovski,Vladimir Novakovski
elonmusk,Elon Musk
satyanadella,Satya Nadella
kevin_scott,Kevin Scott
russelljkaplan,Russell Kaplan
rauchg,Guillermo Rauch
ctindale,Craig Tindale
Hayesfawcett3,Hayes Fawcett
JeffDean,Jeff Dean
moritz_stephan,Moritz Stephan
AshtonJEaton,Ashton Eaton
denisyarats,Denis Yarats
cognition,Cognition
rchalamala,Rahul Chalamala
lulumeservey,Lulu Cheng Meservey
marvinvonhagen,Marvin von Hagen
walden_yan,Walden
dynamic_xyz,Dynamic
Lighter_xyz,Lighter
HyperliquidX,Hyperliquid
chameleon_jeff,jeff.hl
ccheever,Charlie Cheever
benthompson,Ben Thompson
pmarca,Marc Andreessen 
sama,Sam Altman
