username,display_name
GoogleDeepMind,Google DeepMind
RichardMCNgo,Richard Ngo
OriolVinyalsML,Oriol Vinyals
demishassabis,Demis Hassabis
jackclarkSF,Jack Clark
sedielem,Sander Dieleman
shaneguML,Shane Gu
janleike,Jan Leike
AmandaAskell,Amanda Askell
blaiseaguera,Blaise Agüera (@blaiseaguera.bsky.social)
koraykv,koray kavukcuoglu
bryan_johnson,Bryan Johnson
michael_nielsen,Michael Nielsen
BarackObama,Barack Obama
allisondman,Allison Duettmann
Plinz,Joscha Bach
MLStreetTalk,Machine Learning Street Talk
realDonaldTrump,Donald J. Trump
daniel_271828,"Daniel Eth (yes, Eth is my actual last name)"
shamilch,Shamil Chandaria
SamuelAlbanie,Samuel Albanie 
drfeifei,Fei-Fei Li
ctindale,Craig Tindale
clmt,Clément Farabet
lexfridman,Lex Fridman
AllanDafoe,Allan Dafoe
AnnaLeptikon,Anna Riedl
rohinmshah,Rohin Shah
coldxman,Coleman Hughes
tobyordoxford,Toby Ord
jeffclune,Jeff Clune
geoffreyirving,Geoffrey Irving
lilaibrahim,Lila Ibrahim
MIRIBerkeley,MIRI
slatestarcodex,Scott Alexander
paulg,Paul Graham
sama,Sam Altman
ESYudkowsky,Eliezer Yudkowsky 
mpshanahan,Murray Shanahan
