username,display_name
amandamhuang,Amanda Huang
zooko,zooko
JYtopfloorboss,justin james yang 佳佳
oleg_murk,Oleg Mürk
willdepue,will depue
_lorenzkuhn,Lorenz Kuhn
alexwei_,Alexander Wei
bminaiev,Borys Minaiev
tylercowen,tylercowen
shubhramishra_,Shubhra Mishra
sonyatweetybird,Sonya Huang 
frank_liquid,frank
prafdhar,Prafulla Dhariwal
markchen90,Mark Chen
Aaditya6284,Aaditya Singh
DSPyOSS,DSPy
kylehkhsu,Kyle Hsu
jeffreygwang,Jeffrey Wang
aidan_mclau,Aidan McLaughlin
NilsIRL,Nils (e/scape)
marvin_li03,Marvin Li
achakravarthy01,Ayush Chakravarthy
abshkbh,Abhishek Bhardwaj
ACapitalLP,A Capital
drfeifei,Fei-Fei Li
SallyHZhu,Sally Zhu
chenchenygu,Chenchen Gu
thinkymachines,Thinking Machines
polynoamial,Noam Brown
sazzadir14,Sazzad Islam
rishi____1,Rishi Padmanabhan
cathyzbn,Cathy Zhou
AleksandraFaust,Aleksandra Faust
radiuskia,Darius Kianersi
silasalberti,Silas Alberti
marceltornev,Marcel Torné
tonyzzhao,Tony Zhao
moo_jin_kim,Moo Jin Kim
_Aaditya_Prasad,Aaditya Prasad 
ibab,Igor Babuschkin
rhythmrg,Rhythm Garg
dhruv31415,Dhruv π
