username,display_name
AryePulliNFL,Arye Pulli
SleeperMLBTwins,SleeperTwins
SleeperWhiteSox,SleeperWhiteSox
SleeperOrioles,SleeperOrioles
SleeperPhillies,SleeperPhillies
SleeperMarlins,SleeperMarlins
SleeperBraves,SleeperBraves
SleeperNats,SleeperNationals
SleeperBrewers,SleeperBrewers
SleeperCubs,SleeperCubs
SleeperReds,SleeperReds
SleeperSTL,SleeperSTLCards
SleeperPirates,SleeperPirates
SleeperDodgers,SleeperDodgers
SleeperPadres,SleeperPadres
SleeperDbacks,SleeperDiamondbacks
SleeperRockies,SleeperRockies
SleeperCeltics,SleeperCeltics
sleeper76ers,Sleeper76ers
SleeperCleCavs,SleeperCavs
hardmaru,hardmaru
JeffDean,Jeff Dean
steipete,Peter Steinberger
SleeperClippers,SleeperClippers
SleeperWarriors,SleeperWarriors
SleeperSacKings,SleeperKings
SleeperSuns,SleeperSuns
SleeperRockets,SleeperRockets
SleeperSpurs,SleeperSpurs
SleeperSFGiants,SleeperSFGiants
SleeperRedSox,SleeperRedSox
SleeperBlueJays,SleeperBlueJays
SleeperRoyals,SleeperRoyals
SleeperTigers,SleeperTigers
SleeperGuards,SleeperGuardians
SleeperAngels,SleeperAngels
SleeperAth,SleeperAthletics
SleeperRangers,SleeperRangers
SleeperAstros,SleeperAstros
