username,display_name
NeelNanda5,Neel Nanda
ethansdyer,Ethan Dyer
SethAbramson,Seth Abramson
egrefen,Edward Grefenstette
TrungTPhan,Trung Phan
cohere,Cohere
tshevl,Toby Shevlane
NandoDF,Nando de Freitas
AdeptAILabs,Adept
sergeykarayev,Sergey Karayev
pax,PAX
kamilkazani,Kamil Galeev
E0M,Evan Morikawa
BigScienceLLM,BigScience Large Model Training
nelhage,@nelhage
RajlabN,Raj Rajnarayanan
AnthropicAI,Anthropic
Bob_Wachter,Bob Wachter
williams_record,The Williams Record
CDCDirector,CDC Director
chrmanning,Christopher Manning
drfeifei,Fei-Fei Li
berkeley_ai,Berkeley AI Research
andrew_n_carr,Andrew Carr 
GergelyOrosz,Gergely Orosz
Danielhep,Daniel Heppner
CMLGonzalez,Council President M. Lorena González (Seattle)
andreas_madsen,Andreas Madsen
psiyumm,Sanyam Kapoor
megstalter,Meg Stalter
DPRK_News,DPRK News Service
falastiniyat,Falastiniyat Seattle
postoctobrist,November
mattyxb,Unnecessary Inventions
MoxBoarding,Mox Boarding House
MLorenaGonzalez,M. Lorena González
zeynep,zeynep tufekci
MonicaGandhi9,"Monica Gandhi MD, MPH"
Tkaraletsos,Theofanis Karaletsos
