username,display_name
hardmaru,hardmaru
RichardMCNgo,Richard Ngo
_akhaliq,AK
ESYudkowsky,Eliezer Yudkowsky 
ArtirKel,José Luis Ricón Fernández de la Puente
SchmidhuberAI,Jürgen Schmidhuber
NeelNanda5,Neel Nanda
KelseyTuoc,Kelsey Piper
arankomatsuzaki,Aran Komatsuzaki
Aella_Girl,Aella
AnthropicAI,Anthropic
idavidrein,david rein
GoogleDeepMind,Google DeepMind
naturecomputes,Sophia Sanborn @ NeurIPS
DrJimFan,Jim Fan
alexeyguzey,Alexey Guzey
KevinKaichuang,Kevin K. Yang 楊凱筌
patrickmineault,Patrick Mineault
janleike,Jan Leike
jacobandreas,Jacob Andreas
chrmanning,Christopher Manning
bearablylight,Melissa Du
seb_ruder,Sebastian Ruder
myk_jain,Mayank Jain
SemiAnalysis_,SemiAnalysis
__nmca__,Nat McAleese
maxwellfarrens,Max Farrens
Jonas_Vollmer,Jonas Vollmer
neuronpedia,neuronpedia
argvee,Heather Adkins - Ꜻ - Spes consilium non est
kyliu99,Ken Liu
gaia_molinaro,Gaia Molinaro 
leah_pierson,Leah Pierson
bronzeagemantis,Bronze Age Pervert
EmilybyNight,Emily
MarkerPretzel,Marker_Pretzel
claudeai,Claude
ericsson_axel,Axel Ericsson
Willob,will o’brien
jhanatech,Jhourney
