username,display_name
hardmaru,hardmaru
AIatMeta,AI at Meta
arankomatsuzaki,Aran Komatsuzaki
PyTorch,PyTorch
CSProfKGD,Kosta Derpanis
alfcnz,Alfredo Canziani
soumithchintala,Soumith Chintala
Michael_J_Black,Michael Black
giffmana,Lucas Beyer (bl16)
jeremyphoward,Jeremy Howard
SchmidhuberAI,Jürgen Schmidhuber
ykilcher,Yannic Kilcher 
huggingface,Hugging Face
abhi1thakur,abhishek
MattNiessner,Matthias Niessner
jbhuang0604,Jia-Bin Huang
ducha_aiki,Dmytro Mishkin 
ericjang11,Eric Jang
iScienceLuvr,"Tanishq Mathew Abraham, Ph.D."
svlevine,Sergey Levine
yaringal,Yarin
abshkbh,Abhishek Bhardwaj
rsalakhu,Russ Salakhutdinov
Dheemanthredy,Dheemanth Reddy
yzhang_cs,Yu Zhang 
ZavierZWWang,Zhenwei (Zavier) Wang
JiarenCai,Jiaren(Jade) Cai
MiniMax__AI,MiniMax (official)
dtkhangbkg,Khang Doan
SkylerMiao7,Skyler Miao
kakakbibibi,kabi
huberpa91,Patrick Huber
sammtmd,Sam Motamed
hackaprompt,HackAPrompt
Soma_Capital,Soma Capital
rh3cat,cafe3310
buckymoore,Bucky Moore
Benjamin_eecs,Bo Liu (Benjamin Liu)
amywumartin,Amy Wu Martin
