username,display_name
hardmaru,hardmaru
typedfemale,typedfemale
ylecun,Yann LeCun
GoogleDeepMind,Google DeepMind
fchollet,François Chollet
JeffDean,Jeff Dean
cHHillee,Horace He
ericjang11,Eric Jang
soumithchintala,Soumith Chintala
hausman_k,Karol Hausman
jekbradbury,James Bradbury
arankomatsuzaki,Aran Komatsuzaki
_arohan_,rohan anil
ArtirKel,José Luis Ricón Fernández de la Puente
0interestrates,rahul
realGeorgeHotz,George Hotz 
achowdhery,Aakanksha Chowdhery
Miles_Brundage,Miles Brundage
giffmana,Lucas Beyer (bl16)
svlevine,Sergey Levine
atomic_inc,Atomic Industries
stanfordnlp,Stanford NLP Group
SleeperJets,SleeperJets
seb_ruder,Sebastian Ruder
indigoorton,Indigo Orton
matanSF,Matan Grinberg
UnitreeRobotics,Unitree
behrouz_ali,Ali Behrouz
bephrem,Benyam Ephrem
AdrianDittmann,Adrian Dittmann
willreed_21,Will Reed
AntithesisHQ,Antithesis
laurenbalik,Lauren Balik
girldinnersf,Girl Dinner
_katetolo,Kate Tolo
stochasticchasm,stochasm
iamneubert,Nicolas Neubert
hysmio,Hayden Sim
ryanzip,Ryan Oksenhorn
MoonL88537,Moon
Lari_island,Lari
