username,display_name
BobEUnlimited,Bob Elliott
dampedspring,Andy Constan
AndreasSteno,Andreas Steno Larsen
biancoresearch,Jim Bianco
PauloMacro,Paulo Macro
profplum99,Michael Green
SantiagoAuFund,Santiago Capital
agnostoxxx,Le Shrub
dailydirtnap,Jared Dillian
ShortSeller,ShortSeller
UrbanKaoboy,Michael Kao
conksresearch,Conks
donnelly_brent,ʎllǝuuop ʇuǝɹq
josephwang,Joseph Wang
hkuppy,Kuppy
DiMartinoBooth,Danielle DiMartino Booth
JoshYoung,Josh Young
EconguyRosie,David Rosenberg
DariusDale42,Darius Dale
ConvexityMaven,ConvexityMaven
antifraudco,The Antifraud Company
abshkbh,Abhishek Bhardwaj
strongviking66,Strongviking66
ArtificialAnlys,Artificial Analysis
stepfanie,stepfanie tyler
JoinFAI,Foundation for American Innovation 
77cyko,eKohnomics
peterwildeford,Peter Wildeford
Flighty,Flighty
PLA_MilitaryUpd,PLA Military Updates
TerriWuEpoch,Terri Wu
mcuban,Mark Cuban
sophiabrownh,Sophia Brown
Joel_P_Atkinson,Joel Atkinson
FadeAway_Inc,FadeAway
IAmAdamRobinson,Adam Robinson
LizzyStarrrdust,LIZZY
