username,display_name
dwr,Dan Romero
richerd,richerd.eth
ArtOnBlockchain,Erick / Snowfro / 
justintrimble,Justin Trimble
NTmoney,Nick Tomaino
AndrewSteinwold,Andrew Steinwold
cdixon,Chris Dixon
w1nt3r_eth,WINTΞR 
js_horne,$jacob
0xKofi,Kofi
jbrukh,Jake Brukhman
Flynnjamm,brian flynn
johnpalmer,John Palmer
noah0x0,noah 
z0age,0age
jessepollak,jesse.base.eth
danrobinson,Dan Robinson
Scott_eth,Scott
NFTland,Rizzle
petejkim,Pete Kim
Claude_Memory,Claude-Mem
EpochAIResearch,Epoch AI
bearablylight,Melissa Du
drfeifei,Fei-Fei Li
OriolVinyalsML,Oriol Vinyals
fiege_max,max.hl
thdxr,dax
kevinlu625,Kevin Lu
mercor_ai,Mercor
BrendanFoody,Brendan (can/do)
thaiscbranco_,Thais Castello Branco
ndrewpignanelli,andrew pignanelli
intelligenceco,General Intelligence Company
Baxate_carter,Baxate
SteveBPrice,Steven Price
cryptopunk7213,Ejaaz
sebp,Sebastien Pahl
NanoBanana,Nano Banana Pro
ironcarbs,jan
adamcohenhillel,ADAM
veggie_eric,Eric Jiang
