username,display_name
meltdownarchive,Meltdown Archive
SamuelMLSmith,Samuel L Smith
briscoepark,breezeh
zhs05232838,Zhihong Shao
MarkSellke,Mark Sellke
xyVickyHu,Xinyan Hu@NeurIPS
oliviali_,Olivia Li
bminaiev,Borys Minaiev
MostafaRohani,Mostafa Rohaninejad
d_yuqing,Yuqing Du
rose_e_wang,Rose
_lorenzkuhn,Lorenz Kuhn
yanndubs,Yann Dubois
alth0u,alth0u
nervouscomputer,nervouscomputer
ryanbai1412,Ryan Bai
merettm,Jakub Pachocki
lhfauconnet,Laurance Fauconnet
FakePsyho,Psyho
SherylHsu02,Sheryl Hsu
luhemarora,~/mehul/
meilansteimle,meilan
davidbau,David Bau
stanfordnlp,Stanford NLP Group
chrmanning,Christopher Manning
JeffDean,Jeff Dean
rapha_gl,rapha
janonacct,janon
lisabdunlap,Lisa Dunlap
datagenproc,jsd
ahelkky,Ahmed El-Kishky
melodyskim,melody kim
1aur3n_,Lauren Yang
thejoycezhang,Joyce Zhang
ElliotGlazer,Elliot Glazer
sasha_borzunov,Alexander Borzunov
davidkmyang,David K. Yang
SebastienBubeck,Sebastien Bubeck
TransluceAI,Transluce
karinanguyen_,Karina Nguyen
ChatGPTapp,ChatGPT
aivideoarena,Video Arena
_smileyball,Rui Shu
