username,display_name
RichardMCNgo,Richard Ngo
AnthropicAI,Anthropic
AmandaAskell,Amanda Askell
jackclarkSF,Jack Clark
NeelNanda5,Neel Nanda
arankomatsuzaki,Aran Komatsuzaki
janleike,Jan Leike
KelseyTuoc,Kelsey Piper
catherineols,Catherine Olsson
ArtirKel,José Luis Ricón Fernández de la Puente
anderssandberg,Anders Sandberg
sleepinyourhat,Sam Bowman
kipperrii,kipply
cHHillee,Horace He
jungofthewon,Jungwon
IvanVendrov,ivan
hwchase17,Harrison Chase
KatjaGrace,Katja Grace 
joel_bkr,Joel Becker
michejafang,Michelle Fang
svlevine,Sergey Levine
abshkbh,Abhishek Bhardwaj
SleeperJets,SleeperJets
Rkt_Da,Tom Feldman
AndyLapsa,Andy Lapsa
alexalbert__,Alex Albert
stoke_space,Stoke Space
BretDevereaux,"""Online Rent-a-Sage"" Bret Devereaux"
nitarshan,Nitarshan
m_ryabinin,Max Ryabinin
JesseJenkins,Jesse D. Jenkins
DouthatNYT,Ross Douthat
Scholars_Stage,T. Greer
ajeya_cotra,Ajeya Cotra
RosieCampbell,Rosie Campbell
nanjiang_cs,Nan Jiang
sbspalding,Steve Spalding
quantian1,Quantіan
StorkDevon,Devon Stork
