username,display_name
_akhaliq,AK
DrJimFan,Jim Fan
AIatMeta,AI at Meta
giffmana,Lucas Beyer (bl16)
soumithchintala,Soumith Chintala
ericjang11,Eric Jang
deliprao,Delip Rao e/σ
nearcyan,near
AnthropicAI,Anthropic
_jasonwei,Jason Wei
percyliang,Percy Liang
cHHillee,Horace He
iScienceLuvr,"Tanishq Mathew Abraham, Ph.D."
huggingface,Hugging Face
YiTayML,Yi Tay
woj_zaremba,Wojciech Zaremba
savvyRL,Rosanne Liu
ClementDelangue,clem 
srush_nlp,Sasha Rush
wightmanr,Ross Wightman
antifraudco,The Antifraud Company
deanwball,Dean W. Ball
Hayesfawcett3,Hayes Fawcett
HuggingPapers,DailyPapers
clcoding,Python Coding
rasbt,Sebastian Raschka
WenhuChen,Wenhu Chen
deedydas,Deedy
naval,Naval
TencentHunyuan,Tencent HY
wayfarerlabs,OWL
bchesky,Brian Chesky
mignano,Michael Mignano
aiDotEngineer,AI Engineer
ShivamHacks,Shivam Agrawal
hallerite,hallerite
dwarkesh_sp,Dwarkesh Patel
distributionat,toucan
PrimeIntellect,Prime Intellect
