username,display_name
paranirmal9,Nirmal B
InvictusIR,Invictus Incident Response
RootkitRanger,RootkitRanger
muratdemirbas,Murat Demirbas (Distributolog)
ITguySoCal,Joe Stocker
petereliaskraft,Peter Kraft
kirbytypes,Caroline
StevenErwin,Steven Erwin
RightHandTech,RHTG
keenanisalive,Keenan Crane
FrankMcG,Frank McGovern - INACTIVE
HackingDave,Dave Kennedy
jsngr,Jordan Singer
hackerkartellet,Asger.jpg
malmoeb,Stephan Berger
NathanMcNulty,Nathan McNulty
TrustedSec,TrustedSec
Evild3ad79,Evild3ad79
godslittlemacro,Jonathan Gonzalez 
berkeley_ai,Berkeley AI Research
JeffDean,Jeff Dean
JacksonKernion,Jackson Kernion
L_Lgde,"L², PhD"
SecurityAura,Aura
Big_Bad_W0lf_,John
asmartbear,Jason Cohen
dakshgup,Daksh Gupta
jjen_abel,Jen Abel
DEATHCon2025,DEATHCon
PetarV_93,Petar Veličković
Kazanjy,Peter Kazanjy
_josehelps,Jose Enrique Hernandez
HanchungLee,Han
kkmaway,Krishna Memani
yixin_lin_,Yixin Lin
laurenbalik,Lauren Balik
JubbaOnJeans,Sandesh Anand
snowmaker,Jared Friedman
