username,display_name
_akhaliq,AK
hardmaru,hardmaru
DrJimFan,Jim Fan
arankomatsuzaki,Aran Komatsuzaki
jon_barron,Jon Barron
soumithchintala,Soumith Chintala
AndrewYNg,Andrew Ng
savvyRL,Rosanne Liu
YiMaTweets,Yi Ma
PyTorch,PyTorch
woj_zaremba,Wojciech Zaremba
natfriedman,Nat Friedman
xiaolonw,Xiaolong Wang
OriolVinyalsML,Oriol Vinyals
yoavgo,(((ل()(ل() 'yoav))))
MIT_CSAIL,MIT CSAIL
phillip_isola,Phillip Isola
Miles_Brundage,Miles Brundage
3blue1brown,Grant Sanderson
Suhail,Suhail
nickshirleyy,Nick shirley
SleeperJets,SleeperJets
JeffDean,Jeff Dean
karinanguyen_,Karina Nguyen
leoshimo,leo @ software.inc
TuckerCarlson,Tucker Carlson
cool_cocohearts,Alex Zhao
apples_jimmy,Jimmy Apples 
alexeyguzey,Alexey Guzey
Zedd,Zedd
johnsummit,John Summit
dylan522p,Dylan Patel
AndrewYatzkan,Andrew
ennucore,Lev Chizhov
DOGE,Department of Government Efficiency
bryan_johnson,Bryan Johnson
travis_builds,Travis | Tech Bro
clu_cheng,Cheng Lu
rabois,Keith Rabois
zestular,zestular
PrimalNick,Nick Donahue
