username,display_name
paulg,Paul Graham
hardmaru,hardmaru
ylecun,Yann LeCun
GoogleDeepMind,Google DeepMind
woj_zaremba,Wojciech Zaremba
goodside,Riley Goodside
pmarca,Marc Andreessen 
amasad,Amjad Masad
Miles_Brundage,Miles Brundage
npew,Peter Welinder
janleike,Jan Leike
AnthropicAI,Anthropic
BorisMPower,Boris Power
RichardMCNgo,Richard Ngo
mobav0,Mo Bavarian
natfriedman,Nat Friedman
DrJimFan,Jim Fan
miramurati,Mira Murati
jack_w_rae,Jack Rae
jachiam0,Joshua Achiam
workfabricai,Workfabric AI
Yong18850571,Yong Lin
zoink,Dylan Field
gregoryblotnick,Gregory Blotnick
m2jr,"Mike Maples, Jr"
thsottiaux,Tibo
Bala_Selvam25,Bala Selvam
vitorialima_42,Vitoria Lima
RobxInfa,robert
jaredq_,Jared Quincy Davis
ml_angelopoulos,Anastasios Nikolas Angelopoulos
fidjissimo,Fidji Simo
SebastienBubeck,Sebastien Bubeck
basvanopheusden,basvanopheusden
anujsaharan_,Anuj Saharan
XiangningChen,Xiangning Chen
corbtt,Kyle Corbitt
BarrAlexandra,Alexandra Barr
yubai01,Yu Bai
Song__Mei,Song Mei
TheMindScourge,The Mind Scourge
