username,display_name
paranirmal9,Nirmal B
ylecun,Yann LeCun
hardmaru,hardmaru
fchollet,François Chollet
mervenoyann,merve
_akhaliq,AK
paulg,Paul Graham
yoavgo,(((ل()(ل() 'yoav))))
jeremyphoward,Jeremy Howard
nathanbenaich,Nathan Benaich
Thom_Wolf,Thomas Wolf
ClementDelangue,clem 
DrJimFan,Jim Fan
omarsar0,elvis
sarahookr,Sara Hooker
iamaheron_,heron
JainRohan16,Rohan Jain
xjiuhong,Jiuhong Xiao
jonas_eschmann,Jonas Eschmann
boxcardavid,David Hansen 
siruihua,Sirui Hua 华思睿
racheleizner,Rachel Eizner
chrmanning,Christopher Manning
noahedelman02,Noah Edelman
maxhodak_,Max Hodak
jasoneshraghian,Jason Eshraghian
pzakin,Peter Zakin
GabeLenz,Gabriel S. Lenz
yaroslavvb,Yaroslav Bulatov
AlexiGlad,Alexi Gladstone
UriShimron,UriShimron
kennethpayne01,Kenneth Payne
B_AllouiCros,Baptiste Alloui-Cros
turingmusician,Jonathan Bragg
alexwg,Dr. Alex Wissner-Gross
wjqdev,Jiaqi Wang
DaniLowenberg,Daniella Lowenberg
verokiermer,Veronique Kiermer
chesaboudin,Chesa Boudin
Atul_Gawande,Atul Gawande
Diyi_Yang,Diyi Yang
