username,display_name
RichardMCNgo,Richard Ngo
Miles_Brundage,Miles Brundage
jackclarkSF,Jack Clark
AnthropicAI,Anthropic
mealreplacer,Julian
AmandaAskell,Amanda Askell
ericjang11,Eric Jang
KelseyTuoc,Kelsey Piper
NeelNanda5,Neel Nanda
moskov,Dustin Moskovitz
woj_zaremba,Wojciech Zaremba
savvyRL,Rosanne Liu
percyliang,Percy Liang
sleepinyourhat,Sam Bowman
roydanroy,Dan Roy
fhuszar,Ferenc Huszár
davidad,davidad 
ArtirKel,José Luis Ricón Fernández de la Puente
jachiam0,Joshua Achiam
kchonyc,Kyunghyun Cho
svlevine,Sergey Levine
chrmanning,Christopher Manning
abshkbh,Abhishek Bhardwaj
willccbb,will brown
MrinankSharma,mrinank 
DavidSHershey,David Hershey
kylascan,Kyla Scanlon
mvpatel2000,Mihir Patel
barret_zoph,Barret Zoph
johnschulman2,John Schulman
thinkymachines,Thinking Machines
thesundaylight,Sunday Light
joellewenstein,Joel Lewenstein
sberens1,Simon Berens
KadriJibraan,Jibraan
jenny_wen,jenny wen
dylanmatt,dylan matthews 
inductionheads,Super Dario
simondgoldstein,Simon Goldstein
ronawang,Rona Wang
