username,display_name
AnthropicAI,Anthropic
jackclarkSF,Jack Clark
OriolVinyalsML,Oriol Vinyals
AmandaAskell,Amanda Askell
fhuszar,Ferenc Huszár
zacharylipton,Zachary Lipton
janleike,Jan Leike
lilianweng,Lilian Weng
NandoDF,Nando de Freitas
claudeai,Claude
CavalierReboot,Cavalier Improvement Project
RHFontaine,Richard Fontaine
mlpowered,Emmanuel Ameisen
Jack_W_Lindsey,Jack Lindsey
nbeckstead,Nick Beckstead
danielmurfet,Daniel Murfet
rparloff,Roger Parloff
banburismus_,Tom McGrath
Gena_I_Gorlin,Gena Gorlin
playerzero_ai,PlayerZero
pabbeel,Pieter Abbeel
chrmanning,Christopher Manning
CristinaRWhite,Tina White
everytstudies,John Nerst
simonsarris,Simon Sarris
ColdTakes12,Cold Takes
andy_l_jones,andy jones
DarioAmodei,Dario Amodei
nottombrown,Tom Brown
8enmann,Ben Mann
kandouss,Kamal Ndousse
DanielaAmodei,Daniela Amodei
nelhage,@nelhage
ColahSocial,Social ch402
reasonisfun,Lulie
noampomsky,Ava
MathPrinceps,Laurens Gunnarsen
EpistemicHope,Eli Tyre
