username,display_name
yoavgo,(((ل()(ل() 'yoav))))
soumithchintala,Soumith Chintala
percyliang,Percy Liang
kchonyc,Kyunghyun Cho
srush_nlp,Sasha Rush
sleepinyourhat,Sam Bowman
gneubig,Graham Neubig
_jasonwei,Jason Wei
Thom_Wolf,Thomas Wolf
tdietterich,Thomas G. Dietterich
douwekiela,Douwe Kiela
yoavartzi,Yoav Artzi
tallinzen,Tal Linzen
WilliamWangNLP,William Wang
stanfordnlp,Stanford NLP Group
nsaphra,Naomi Saphra
ChrisGPotts,Christopher Potts
dustinvtran,Dustin Tran
_rockt,Tim Rocktäschel
xwang_lk,Xin Eric Wang
drfeifei,Fei-Fei Li
svlevine,Sergey Levine
JeffDean,Jeff Dean
JPLindsley,JP Lindsley | Journalist
Miles_Brundage,Miles Brundage
ychernova,Yuliya Chernova
EugeneVinitsky,Eugene Vinitsky 
ylecun,Yann LeCun
OwenWntr,Owen Winter
nathanbenaich,Nathan Benaich
warfareanalysis,Warfare Analysis
AravSrinivas,Aravind Srinivas
HannaHajishirzi,Hanna Hajishirzi
sainingxie,Saining Xie
SuvanshSanjeev,Suvansh Sanjeev
sarahookr,Sara Hooker
gregd_nlp,Greg Durrett
ClementDelangue,clem 
deliprao,Delip Rao e/σ
