username,display_name
garrytan,Garry Tan
Suhail,Suhail
alexandr_wang,Alexandr Wang
ycombinator,Y Combinator
bchesky,Brian Chesky
jasonlk,Jason 
rrhoover,Ryan Hoover
patrickc,Patrick Collison
natfriedman,Nat Friedman
jaltma,Jack Altman
frantzfries,Chris Frantz
rabois,Keith Rabois
hdubugras,Henrique Dubugras
yuris,Yuri Sagalov
justinkan,Justin Kan
immad,immad
andrewchen,andrew chen
m2jr,"Mike Maples, Jr"
jasoncwarner,Jason Warner
kvogt,Kyle Vogt
glangley,Garrett Langley
antifraudco,The Antifraud Company
ACapitalLP,A Capital
OriolVinyalsML,Oriol Vinyals
CalebPeffer,Caleb Peffer (Hiring!)
kcoleman,Keith Coleman 
scootermontana,Nathaniel Montana
robotaxi,Tesla Robotaxi
nmasc_,Natasha Mascarenhas
kabirnagral,Kabir Nagral
sunguroku,Trevor Shim
mhdempsey,Michael Dempsey
emirayaaz,Emir
politicalmath,PoIiMath
magicpatterns,Magic Patterns
spenserskates,Spenser Skates
saarth_,Saarth Shah
anneleeskates,Anne Lee Skates
jhleath,Hunter Leath
endowment_eddie,Endowment Eddie
m_franceschetti,Matteo Franceschetti
