username,display_name
yoavgo,(((ل()(ل() 'yoav))))
JonathanBerant,Jonathan Berant
sleepinyourhat,Sam Bowman
chaimlevinson,Chaim Levinson
robertskmiles,Rob Miles
moskov,Dustin Moskovitz
LChoshen,Leshem (Legend) Choshen 
MaxCRoser,Max Roser
goodside,Riley Goodside
ZhijingJin,Zhijing Jin
AcquiredFM,Acquired Podcast
tbpn,TBPN
logangraham,Logan Graham
Irregular,Irregular
patrickc,Patrick Collison
ssi,SSI Inc.
llm_sec,LLM Security
natfriedman,Nat Friedman
soundboy,Ian Hogarth
eladgil,Elad Gil
karaswisher,Kara Swisher
quantian1,Quantіan
abshkbh,Abhishek Bhardwaj
SleeperJets,SleeperJets
rowancheung,Rowan Cheung
heyBarsee,Barsee 
danshipper,Dan Shipper 
bentossell,Ben Tossell
karenxcheng,Karen X. Cheng
yoheinakajima,Yohei
mreflow,Matt Wolfe
emollick,Ethan Mollick
nickfloats,Nick St. Pierre
geoffreyhinton,Geoffrey Hinton
karpathy,Andrej Karpathy
gdb,Greg Brockman
ilyasut,Ilya Sutskever
alexandr_wang,Alexandr Wang
EMostaque,Emad
AIatMeta,AI at Meta
macfound,MacArthur Foundation
