username,display_name
ylecun,Yann LeCun
GoogleDeepMind,Google DeepMind
OriolVinyalsML,Oriol Vinyals
JeffDean,Jeff Dean
JoshuaKushner,Joshua Kushner
MCHammer,MC HAMMER e/acc
tobi,tobi lutke
beffjezos,Beff (e/acc)
thefox,Nick Fox
antigravity,Google Antigravity
fofrAI,fofr
VidsSrinivasan,Vidhya Srinivasan
goodside,Riley Goodside
Tylergroce,Tyler Groce
PeterDiamandis,"Peter H. Diamandis, MD"
mkratsios47,Director Michael Kratsios
NotebookLM,NotebookLM
Jason,@jason
friedberg,david friedberg
chamath,Chamath Palihapitiya
NanoBanana,Nano Banana Pro
soumithchintala,Soumith Chintala
maxhodak_,Max Hodak
GeminiApp,G3mini
GoogleLabs,Google Labs
alexandr_wang,Alexandr Wang
AllanDafoe,Allan Dafoe
TEDchris,Chris Anderson
DGukesh,Gukesh D
GaryMarcus,Gary Marcus
OfficialLoganK,Logan Kilpatrick
ancadianadragan,Anca Dragan
RachelReevesMP,Rachel Reeves
geoffreyhinton,Geoffrey Hinton
ClementDelangue,clem 
arena,lmarena.ai
the_culturist_,The Culturist
FionaHMarshall,Fiona Marshall
bryan_johnson,Bryan Johnson
