username,display_name
arankomatsuzaki,Aran Komatsuzaki
giffmana,Lucas Beyer (bl16)
sirbayes,Kevin Patrick Murphy
ericjang11,Eric Jang
pfau,David Pfau
sedielem,Sander Dieleman
svlevine,Sergey Levine
fhuszar,Ferenc Huszár
tdietterich,Thomas G. Dietterich
OriolVinyalsML,Oriol Vinyals
wellingmax,Max Welling
_jasonwei,Jason Wei
shaneguML,Shane Gu
TacoCohen,Taco Cohen
_arohan_,rohan anil
jaschasd,Jascha Sohl-Dickstein
ZoubinGhahrama1,Zoubin Ghahramani
poolio,Ben Poole
dustinvtran,Dustin Tran
natolambert,Nathan Lambert
anquetil,Martin
birenbomb,Gabby Birenbaum
deliprao,Delip Rao e/σ
runevision,Rune Skovbo Johansen →
United24media,UNITED24 Media
ShaneLegg,Shane Legg
IncredibleCulk,Macaulay Culkin
RicardoMonti9,Ricardo Monti
BeidiChen,Beidi Chen
igorsushko,Igor Sushko
Teknium,Teknium (e/λ)
historiek,Geschiedenis | Historiek.net
WillemdePrater,Willem de Zwijger
SadhikaMalladi,Sadhika Malladi
RGoroshin,Ross Goroshin
austinbarnard45,Austin Barnard
DarioAmodei,Dario Amodei
kvfrans,Kevin Frans
polynoamial,Noam Brown
