username,display_name
ylecun,Yann LeCun
YiMaTweets,Yi Ma
soumithchintala,Soumith Chintala
PyTorch,PyTorch
Michael_J_Black,Michael Black
SchmidhuberAI,Jürgen Schmidhuber
ericjang11,Eric Jang
percyliang,Percy Liang
NeurIPSConf,NeurIPS Conference
svlevine,Sergey Levine
ykilcher,Yannic Kilcher 
OriolVinyalsML,Oriol Vinyals
tdietterich,Thomas G. Dietterich
zacharylipton,Zachary Lipton
chrmanning,Christopher Manning
AnimaAnandkumar,Prof. Anima Anandkumar
animesh_garg,Animesh Garg
lilianweng,Lilian Weng
CVPR,#CVPR2026
nidmarti,Aditya Nidmarti
Hayesfawcett3,Hayes Fawcett
steipete,Peter Steinberger
BradSmi,Brad Smith
cocolitron,Ben
SamWangPhD,Sam Wang is at samwang.bsky.social
EurekaLabsAI,Eureka Labs
Hawaii271828,Yi Hua
binarybits,Timothy B. Lee
EHuanglu,el.cine
dmarcos,Diego
lilatretikov,Lila Tretikov
PJaccetturo,PJ Ace
c_valenzuelab,Cristóbal Valenzuela
BrittaniNatali,Brittani Natali
markburgess_osl,Mark Burgess
ljin18,Li Jin
keshigeyan,Keshigeyan Chandrasegaran
