username,display_name
ESYudkowsky,Eliezer Yudkowsky 
robinhanson,Robin Hanson
nickcammarata,Nick
DavidDeutschOxf,David Deutsch
michael_nielsen,Michael Nielsen
SamoBurja,Samo Burja
ATabarrok,Alex Tabarrok
powerbottomdad1,sucks
alexeyguzey,Alexey Guzey
bryan_caplan,Bryan Caplan
PradyuPrasad,Pradyumna
tylercowen,tylercowen
RichardMCNgo,Richard Ngo
danielgross,Daniel Gross
gbrl_dick,Gabriel
mealreplacer,Julian
StefanFSchubert,Stefan Schubert
typedfemale,typedfemale
goth600,@goth
ad0rnai,carl
CUDAHandbook,Nicholas Wilt
antifraudco,The Antifraud Company
ctindale,Craig Tindale
steipete,Peter Steinberger
modestproposal1,modest proposal
labelbox,Labelbox
rmcentush,Ryan McEntush
samsja19,samsja
jchencxh,James Chen
fiiiiiist,Tim Fist
jsuarez5341,Joseph Suarez 
xdalinstone,dalin stone
jack,jack
solarapparition,solarapparition
1a3orn,1a3orn
romeovdean,Romeo Dean
rasbt,Sebastian Raschka
iaindunning,Iain Dunning
levelsio,@levelsio
classiclarryd,Larry Dial
NunoSempere,Nuño Sempere (Asunción)
