username,display_name
garrytan,Garry Tan
Suhail,Suhail
HarryStebbings,Harry Stebbings
alexandr_wang,Alexandr Wang
sarthakgh,Sar Haribhakti
rabois,Keith Rabois
jaltma,Jack Altman
m2jr,"Mike Maples, Jr"
jrichlive,Jeff Richards
ttunguz,Tomasz Tunguz
andrewchen,andrew chen
martin_casado,martin_casado
jmj,Jeff Morris Jr.
KTmBoyle,Katherine Boyle
arampell,Alex Rampell
zackkanter,Zack Kanter
Altimor,Flo Crivello
justindross,JD Ross
zachperret,Zachary Perret
adamnash,Adam Nash
quocleix,Quoc Le
dpkingma,Durk Kingma
SleeperJets,SleeperJets
TfTHacker,TfTHacker
FrancescoD_Ales,Francesco D'Alessio
readwise,Readwise
TomFrankly,Thomas Frank
fortelabs,Tiago Forte
obsdmd,Obsidian
eastdakota,Matthew Prince 
tbc415,Turner Caldwell
sopharicks,Sophia
natfriedman,Nat Friedman
AdinaYakup,Adina Yakup
SamarAtTemporal,Samar Abbas
YasminRazavi,Yasmin Razavi
byersblake,Blake Byers
kareemamin,Kareem Amin
FEhrsam,Fred Ehrsam
im_roy_lee,Roy
endowment_eddie,Endowment Eddie
