username,display_name
RyanPanwar,Ryan Panwar
gopalkraman,Gopal
nabla_theta,Leo Gao
_sholtodouglas,Sholto Douglas
tulseedoshi,Tulsee Doshi
EricBigelow,Eric Bigelow
johncoogan,John Coogan
Pontifex,Pope Leo XIV
srihita_raju,Srihita Vatsavaya
repligate,j⧉nus
RichardSSutton,Richard Sutton
ARGleave,Adam Gleave
pfau,David Pfau
eladgil,Elad Gil
lennysan,Lenny Rachitsky
Irregular,Irregular
kath_mcmahon,Kathleen McMahon
ValthosTech,Valthos
PJClark,Philip Clark
PracheeAC,Prachee Avasthi
LiamFedus,William Fedus
sonyatweetybird,Sonya Huang 
abshkbh,Abhishek Bhardwaj
birenbomb,Gabby Birenbaum
anquetil,Martin
satyanadella,Satya Nadella
a_jy_l,Andrew Lee
wattenberg,Martin Wattenberg
trq212,Thariq
CarinaLHong,Carina Hong
danielmurfet,Daniel Murfet
jasonkwon,Jason Kwon
SuryaGanguli,Surya Ganguli
MikeMcCormick_,Mike McCormick
HalcyonFutures,Halcyon Futures
nterminus,Nish
SFResearch,Salesforce AI Research
ScottWu46,Scott Wu
markchen90,Mark Chen
dan_lahav,Dan Lahav
DanielLurie,Daniel Lurie 丹尼爾·羅偉
ArcadiaScience,Arcadia Science
