username,display_name
DrJimFan,Jim Fan
soumithchintala,Soumith Chintala
arankomatsuzaki,Aran Komatsuzaki
alfcnz,Alfredo Canziani
giffmana,Lucas Beyer (bl16)
deliprao,Delip Rao e/σ
Michael_J_Black,Michael Black
savvyRL,Rosanne Liu
woj_zaremba,Wojciech Zaremba
kchonyc,Kyunghyun Cho
jbhuang0604,Jia-Bin Huang
hausman_k,Karol Hausman
cHHillee,Horace He
AnthropicAI,Anthropic
percyliang,Percy Liang
_jasonwei,Jason Wei
sirbayes,Kevin Patrick Murphy
ykilcher,Yannic Kilcher 
Miles_Brundage,Miles Brundage
shaneguML,Shane Gu
antifraudco,The Antifraud Company
tcarambat,Tim Carambat
gregoryblotnick,Gregory Blotnick
brianzhan1,Brian Zhan
mehul,Mehul
enactic_ai,Enactic
JannikGrothusen,Jannik Grothusen
alpercanbe,Alper Canberk
seungho__yang,Shy Yang
sourccey,Sourccey
NickBuilds11,Nick Maselli
reed,reed
hikingshawty,rly cool girl
ShengyuanS,Shengyuan
pjreddie,Joseph Redmon
TheOceanCleanup,The Ocean Cleanup
chetan_,Chetan
cheryyun_l,Yongyuan Liang
gharik,Georges Harik
BAAIBeijing,BAAI
dcelojev,Dejan
