username,display_name
ylecun,Yann LeCun
tunguz,Bojan Tunguz
hardmaru,hardmaru
rasbt,Sebastian Raschka
AndrewYNg,Andrew Ng
marktenenholtz,Mark Tenenholtz
GoogleDeepMind,Google DeepMind
GaryMarcus,Gary Marcus
docmilanfar,Peyman Milanfar
jeremyphoward,Jeremy Howard
YiMaTweets,Yi Ma
SchmidhuberAI,Jürgen Schmidhuber
yoavgo,(((ل()(ل() 'yoav))))
deliprao,Delip Rao e/σ
RichardSocher,Richard Socher
TensorFlow,TensorFlow
sirbayes,Kevin Patrick Murphy
meowbooksj,Meowbooks
JeffDean,Jeff Dean
woj_zaremba,Wojciech Zaremba
drfeifei,Fei-Fei Li
ACapitalLP,A Capital
zicokolter,Zico Kolter
ajassy,Andy Jassy
LePoint,Le Point
electricfutures,Momentum Chaser
CyrilGorlla,Cyril Gorlla
Yoshua_Bengio,Yoshua Bengio
eldsjal,Daniel Ek
ndea,Ndea
OfficialLoganK,Logan Kilpatrick
sriramk,Sriram Krishnan
xuanalogue,xuan (ɕɥɛn / sh-yen)
steph_palazzolo,Stephanie Palazzolo
fernandorojo,Fernando Rojo
deedydas,Deedy
AndrewLampinen,Andrew Lampinen
aymericzzz,Aymeric Zhuo
