username,display_name
micsolana,Mike Solana
theallinpod,The All-In Podcast
BillAckman,Bill Ackman
levie,Aaron Levie
tobi,tobi lutke
thesamparr,Sam Parr
garrytan,Garry Tan
chamath,Chamath Palihapitiya
ShaanVP,Shaan Puri
all_in_tok,ALL-IN TOK
HarryStebbings,Harry Stebbings
JTLonsdale,Joe Lonsdale
altcap,Brad Gerstner
patrick_oshag,Patrick OShaughnessy
bchesky,Brian Chesky
wolfejosh,Josh Wolfe
rabois,Keith Rabois
patrickc,Patrick Collison
DanielSLoeb1,Daniel S. Loeb
zachweinberg,Tweets from Zach Weinberg
billszafranski,billszafranski
Hayesfawcett3,Hayes Fawcett
OriolVinyalsML,Oriol Vinyals
JeffDean,Jeff Dean
VP,Vice President JD Vance
davidsacks47,David Sacks
vance_whitaker,Dr. Vance M. Whitaker
Kash_Patel,Kash Patel
BrookeLRollins,Brooke Rollins
AutismCapital,Autism Capital 
RepThomasMassie,Thomas Massie
Polymarket,Polymarket
DOGE,Department of Government Efficiency
shayne_coplan,Shayne Coplan 
DanielLurie,Daniel Lurie 丹尼爾·羅偉
choppen5,Charles Oppenheimer
NobelPrize,The Nobel Prize
FierceBiotech,FierceBiotech
CityofAsheville,City of Asheville
nikesharora,Nikesh Arora
