username,display_name
arankomatsuzaki,Aran Komatsuzaki
soumithchintala,Soumith Chintala
Michael_J_Black,Michael Black
ykilcher,Yannic Kilcher 
jeremyphoward,Jeremy Howard
SchmidhuberAI,Jürgen Schmidhuber
ericjang11,Eric Jang
cHHillee,Horace He
deliprao,Delip Rao e/σ
ducha_aiki,Dmytro Mishkin 
francoisfleuret,François Fleuret
wightmanr,Ross Wightman
sirbayes,Kevin Patrick Murphy
srush_nlp,Sasha Rush
_arohan_,rohan anil
iScienceLuvr,"Tanishq Mathew Abraham, Ph.D."
AnthropicAI,Anthropic
sedielem,Sander Dieleman
YiTayML,Yi Tay
crossbordercap,CrossBorder Capital/ GLIndexes
SleeperJets,SleeperJets
thegautamkamath,Gautam Kamath
ting_,Ting Chen Liang
Scobleizer,Robert Scoble
NanoBanana,Nano Banana Pro
4AAAAart,Architectural Art (A-A)
tri_dao,Tri Dao
alexandr_wang,Alexandr Wang
GuggerSylvain,Sylvain Gugger
ideosyncretic,Angel Chen ▄ ▀
sasuke___420,sasuke
magikarp_tokens,Sander Land
kawausosuki0513,荒木 佐保里（SAO）
bigeagle_moe,熊
hauntsaninja,Shantanu Jain
drisspg,driss guessous
eliebakouch,elie
lvwerra,Leandro von Werra
du_yilun,Yilun Du
