username,display_name
shreyas,Shreyas Doshi
pitdesi,Sheel Mohnot
ttunguz,Tomasz Tunguz
m2jr,"Mike Maples, Jr"
jmj,Jeff Morris Jr.
martin_casado,martin_casado
DanRose999,Dan Rose
aakashgupta,Aakash Gupta
arampell,Alex Rampell
_ram_,Ram Parameswaran
davidu,David Ulevitch 
Samirkaji,samir kaji
lpolovets,Leo Polovets
sarahtavel,Sarah Tavel
dhaber,David Haber
AdamMGrant,Adam Grant
steipete,Peter Steinberger
matanSF,Matan Grinberg
hahnbeelee,Hahnbee Lee
drfeifei,Fei-Fei Li
JacksonKernion,Jackson Kernion
lilianweng,Lilian Weng
ChaseAPackard,Chase Packard
tszzl,roon
yacineMTB,kache
HanchungLee,Han
Lewis_Lin,Lewis C. Lin 
NeuralViz,Neural Viz
drvdhruv,Dhruv Malrana
nachunja,Cute Baby
carlvellotti,Carl Vellotti 
omooretweets,Olivia Moore
charlieholtz,Charlie Holtz
HealthcareAIGuy,Healthcare AI Guy
readswithravi,Reads with Ravi
_Dogs_family,Dogs are Family
Salmaaboukarr,Salma
atlascardhq,Atlas
