username,display_name
EMostaque,Emad
alexandr_wang,Alexandr Wang
DrJimFan,Jim Fan
ESYudkowsky,Eliezer Yudkowsky 
mathemagic1an,Jay Hack
natfriedman,Nat Friedman
danielgross,Daniel Gross
GuyP,Guy Parsons
yacineMTB,kache
nearcyan,near
arankomatsuzaki,Aran Komatsuzaki
woj_zaremba,Wojciech Zaremba
nickcammarata,Nick
typedfemale,typedfemale
sharifshameem,Sharif Shameem
thesephist,Linus
RichardMCNgo,Richard Ngo
goth600,@goth
AnthropicAI,Anthropic
danshipper,Dan Shipper 
brunellaism,Brunella
anirudhg9119,Anirudh Goyal
nidmarti,Aditya Nidmarti
drfeifei,Fei-Fei Li
JeffDean,Jeff Dean
awesome_visuals,awesome_visuals
testingham,tom cunningham
kieranklaassen,Kieran Klaassen
raphaelschaad,Raphael Schaad
paulbettner,WildPaul - BEAST MODE
docmilanfar,Peyman Milanfar
JasonSilva,Jason Silva
kevinleestone,Kevin Stone
dileeplearning,Dileep George
grutzik_petra,Petra Grutzik
antigravity,Google Antigravity
kevinhou22,Kevin Hou
sashadoubov,Sasha Doubov
ai_for_success,AshutoshShrivastava
grx_xce,Grace Li
