username,display_name
melissapan,Melissa Pan
andykonwinski,Andy Konwinski
alexgshaw,Alex Shaw
shaneguML,Shane Gu
JustinLin610,Junyang Lin
infoxiao,Xiao Ma
MimeeXu,Mimee // smart casual dark and academic
cosminnegruseri,Cosmin Negruseri
YuxiangWei9,Yuxiang Wei
yubai01,Yu Bai
Mike_A_Merrill,Mike A. Merrill
lightetal,Jonathan @NeurIPS
DZhang50,Dan Zhang @ NeurIPS
aksh_555,Akshara Prabhakar
thomastjoshi,Thomas Joshi
jyangballin,John Yang
bonniesjli,Bonnie Li
16BitNarwhal,Eric Zhang
j_asminewang,Jasmine Wang
thsottiaux,Tibo
dylan__hurd,Dylan Hurd
pabbeel,Pieter Abbeel
tcarambat,Tim Carambat
seb_ruder,Sebastian Ruder
denwezoh,"Derick En'Wezoh, MD"
ah20im,Ahmed
hamostaf04,hamza mostafa
bobrenjc93,Bob Ren
signulll,signüll
Miles_Brundage,Miles Brundage
sonyatweetybird,Sonya Huang 
laurenmhreeder,Lauren Reeder
natolambert,Nathan Lambert
reiinakano,Reiichiro Nakano
CJKRaymond,Cameron Raymond
andersonbcdefg,Ben (no treats)
difficultyang,difficultyang
ezyang,Edward Z. Yang
_adiganesh,Adi Ganesh
davidkjelkerud,David Kjelkerud
katyhshi,Katy Shi
