username,display_name
noampomsky,Ava
nickcammarata,Nick
nwilliams030,nicole ruiz
patriciamou_,Patricia Mou
ArtirKel,José Luis Ricón Fernández de la Puente
ansonyuu,anson ⁂
tylerangert,Tyler Angert
TylerAlterman,Tyler Alterman is in monkmode (but still tweeting)
thesephist,Linus
rSanti97,Santi Ruiz
AskYatharth,yatharth ༺༒༻
ashleydzhang,Ashley
MasterTimBlais,Tim is Making Things In MTL Until Further Notice
alexeyguzey,Alexey Guzey
spencerc99,spencer chang
Miles_Brundage,Miles Brundage
ghosttyped,david 
made_in_cosmos,Maria Made in Cosmos is taking a break 
keikreutler,Kei
katiewav,katie
romainhuet,Romain Huet
cryps1s,DANΞ
chrmanning,Christopher Manning
JeffDean,Jeff Dean
maxhodak_,Max Hodak
littIeramblings,sarah
j_mcgraph,Josh McGrath
janvikalra_,janvi kalra
saachi_jain_,Saachi Jain
VincentBarr,Vincent Barr
michaelhpage,page
soroushjp,Soroush Pour
carmguti,carmen
Andrew_C_Payne,Andrew Payne
JasonDClinton,Jason D. Clinton 
SherylHsu02,Sheryl Hsu
suchenzang,Susan Zhang
RyanPGreenblatt,Ryan Greenblatt
ErikJones313,Erik Jones
kaicathyc,Kai
samsamoa,Sam McCandlish
MaxNadeau_,Max Nadeau
