username,display_name
Miles_Brundage,Miles Brundage
soumithchintala,Soumith Chintala
RichardMCNgo,Richard Ngo
yoavgo,(((ل()(ل() 'yoav))))
arankomatsuzaki,Aran Komatsuzaki
AnthropicAI,Anthropic
deliprao,Delip Rao e/σ
ericjang11,Eric Jang
jeremyphoward,Jeremy Howard
giffmana,Lucas Beyer (bl16)
woj_zaremba,Wojciech Zaremba
nearcyan,near
RichardSocher,Richard Socher
MichaelTrazzi,Michaël Trazzi
percyliang,Percy Liang
AmandaAskell,Amanda Askell
ykilcher,Yannic Kilcher 
OriolVinyalsML,Oriol Vinyals
ClementDelangue,clem 
cHHillee,Horace He
faisalislam,Faisal Islam
abshkbh,Abhishek Bhardwaj
rsalakhu,Russ Salakhutdinov
realNathanCheng,Nathan S. Cheng thinks you should work on aging.
eli_lifland,Eli Lifland
VarunKrovi,Varun Krovi
roonotroon,Rachel Weinberg
TarenSK,TarenSK
NeuralViz,Neural Viz
JOEBOTxyz,Joe Allen
CelestAI_,Celestia
Mononofu,Julian Schrittwieser
PeterMcCrory,Peter McCrory
_sholtodouglas,Sholto Douglas
Liv_Agar,Liv
Thomas_Woodside,Thomas Woodside 🫜
davidshor,David Shor
michejafang,Michelle Fang
Abi0lvera,Abi Olvera
alexanderchen,Alexander Chen
