username,display_name
RichardMCNgo,Richard Ngo
woj_zaremba,Wojciech Zaremba
AnthropicAI,Anthropic
Miles_Brundage,Miles Brundage
jackclarkSF,Jack Clark
AmandaAskell,Amanda Askell
NeelNanda5,Neel Nanda
typedfemale,typedfemale
percyliang,Percy Liang
robertskmiles,Rob Miles
sleepinyourhat,Sam Bowman
jachiam0,Joshua Achiam
anderssandberg,Anders Sandberg
KelseyTuoc,Kelsey Piper
moskov,Dustin Moskovitz
DavidSKrueger,David Krueger
mobav0,Mo Bavarian
pfau,David Pfau
BorisMPower,Boris Power
_jasonwei,Jason Wei
sprice354_,Sara Price
abshkbh,Abhishek Bhardwaj
drfeifei,Fei-Fei Li
ThisThirsty,This Podcast is Making Me Thirsty Seinfeld Podcast
SueDHellmann,Dr. Sue Desmond-Hellmann
dqgorelick,Dan Gorelick
ManasJoglekar,Manas Joglekar
METR_Evals,METR
yonashav,Yo Shavit
tsarnick,Tsarathustra
_julianmichael_,Julian Michael
mischiefanimals,Goblin Moder
avclubsf,AV CLUB SAN FRANCISCO
davidbau,David Bau
EvanHub,Evan Hubinger
Pavel_Izmailov,Pavel Izmailov
FutureHouseSF,FutureHouse
weidai11,Wei Dai
_sholtodouglas,Sholto Douglas
btaylor,Bret Taylor
incurrentmodels,justsaysinnonsuperintelligentmodels
