username,display_name
fchollet,François Chollet
ylecun,Yann LeCun
rasbt,Sebastian Raschka
hardmaru,hardmaru
_akhaliq,AK
omarsar0,elvis
AIatMeta,AI at Meta
soumithchintala,Soumith Chintala
PyTorch,PyTorch
Sentdex,Harrison Kinsley
abhi1thakur,abhishek
chrisalbon,Chris Albon
SchmidhuberAI,Jürgen Schmidhuber
YiMaTweets,Yi Ma
radekosmulski,Radek Osmulski
yoavgo,(((ل()(ل() 'yoav))))
mervenoyann,merve
arankomatsuzaki,Aran Komatsuzaki
DeepLearningAI,DeepLearning.AI
iScienceLuvr,"Tanishq Mathew Abraham, Ph.D."
pabbeel,Pieter Abbeel
abshkbh,Abhishek Bhardwaj
travisk,travis kalanick
rasdani_,Daniel Auras
anthonyronning,Anthony Ronning
redtachyon,Ariel
kylerywang,Kyler Wang
ronawang,Rona Wang
deanmckee757,Dean McKee
ellie_huxtable,Ellie Huxtable
pleiasfr,pleias
GregHBurnham,Greg Burnham
obadakhalili,Obada Khalili
jerhadf,jeremy
inerati,liz
popovicu94,Uros Popovic
paaloesterud,Pål Østerud
bidiptas13,Bidipta Sarkar
underfit,underfit
_smileyball,Rui Shu
farhatchristina,Christina Farhat
