username,display_name
ESYudkowsky,Eliezer Yudkowsky 
RichardMCNgo,Richard Ngo
NathanpmYoung,Nathan 
StefanFSchubert,Stefan Schubert
peterwildeford,Peter Wildeford
mealreplacer,Julian
moskov,Dustin Moskovitz
FreshMangoLassi,Habiba 
robbensinger,Rob Bensinger 
Aella_Girl,Aella
KelseyTuoc,Kelsey Piper
AmandaAskell,Amanda Askell
michael_nielsen,Michael Nielsen
rgblong,Robert Long
robinhanson,Robin Hanson
anderssandberg,Anders Sandberg
daniel_271828,"Daniel Eth (yes, Eth is my actual last name)"
robertwiblin,Rob Wiblin
robertskmiles,Rob Miles
KatjaGrace,Katja Grace 
AlkahestMu,telØS
chrmanning,Christopher Manning
NandoDF,Nando de Freitas
maxhodak_,Max Hodak
Mjreard,Matt Reardon
JordanFisherEzr,jordan ezra
ibab,Igor Babuschkin
JoinFAI,Foundation for American Innovation 
DavidSacks,David Sacks
mkratsios47,Director Michael Kratsios
elder_plinius,Pliny the Liberator 
growing_daniel,Daniel
LeahLibresco,Leah Libresco Sargeant
ifonlyalabama,Rochelle
claudeai,Claude
sleight_henry,Henry is launching the Astra Research Program!
KonstantinPilz,Konstantin Pilz
EmilybyNight,Emily
slow_developer,Haider.
bencasnocha,Ben Casnocha
