username,display_name
amasad,Amjad Masad
garrytan,Garry Tan
nikitabier,Nikita Bier
Suhail,Suhail
alexandr_wang,Alexandr Wang
TechBroDrip,Dripped Out Technology Brothers
0interestrates,rahul
PaddyG96,Paddy Galloway
rabois,Keith Rabois
travisk,travis kalanick
saramfoster,Sara Foster
systematicls,sysls
NASAAdmin,NASA Administrator Jared Isaacman
dagsen,Dagsen
apoorv03,Apoorv Agrawal
cHHillee,Horace He
nealmohan,Neal Mohan
simoncorry,Simon Corry
aaronburnett,Aaron Burnett
DEricSayers,Eric Sayers
alexwg,Dr. Alex Wissner-Gross
MattPaulsonSD,Matt Paulson
playerzero_ai,PlayerZero
antifraudco,The Antifraud Company
stanfordnlp,Stanford NLP Group
kenanhsaleh,Kenan Saleh
qasar,Qasar Younis
joel_bkr,Joel Becker
Josh_Koehn,Josh Koehn
RichLightShed,"Rich Greenfield, LightShed "
captgouda24,Nicholas Decker
BainCapVC,Bain Capital Ventures
UnderSecE,Under Secretary of State Jacob S. Helberg
myth_pilot,𝐏𝐚𝐮𝐥𝐨𝐬 (Golden Age Arc)
AmandaAskell,Amanda Askell
zhuokaiz,Zhuokai Zhao
berber_jin1,Berber Jin
lynnmartin,Lynn Martin
stewartbrand,Stewart Brand
max_spero_,Max Spero
edels0n,Ed Elson
