username,display_name
goodside,Riley Goodside
GoogleDeepMind,Google DeepMind
EMostaque,Emad
DrJimFan,Jim Fan
woj_zaremba,Wojciech Zaremba
soumithchintala,Soumith Chintala
arankomatsuzaki,Aran Komatsuzaki
ericjang11,Eric Jang
jeremyphoward,Jeremy Howard
giffmana,Lucas Beyer (bl16)
AnthropicAI,Anthropic
svlevine,Sergey Levine
RichardSocher,Richard Socher
mathemagic1an,Jay Hack
nearcyan,near
percyliang,Percy Liang
hausman_k,Karol Hausman
Miles_Brundage,Miles Brundage
pfau,David Pfau
savvyRL,Rosanne Liu
chrmanning,Christopher Manning
rsalakhu,Russ Salakhutdinov
seb_ruder,Sebastian Ruder
haoailab,Hao AI Lab
rach_it_,Rachit Bansal
hallerite,hallerite
ccui9,Christopher Z. Cui
manthanguptaa,Manthan Gupta
abhayesian,abhayesian
AmarSVS,Amar Singh
Sauers_,Sauers
samhogan,Sam Hogan 
brianzhan1,Brian Zhan
charlespacker,Charles Packer
jaredpalmer,Jared Palmer
steve47285,Steven Byrnes
springertimo,Timo Springer
rogershijin,Roger Jin
aurickq,Aurick Qiao
axiommathai,Axiom
